Postcode,Average net tax,Percentage of total Average Tax paid,Average Salary,Percentage of Total State Income
3589,13831,0.149064063,34410,0.10553577
3590,9870,0.106374254,36801,0.112868988
3591,9680,0.104326522,46912,0.143879513
3594,7860,0.084711412,36153,0.110881566
3595,7223,0.077846123,34954,0.107204223
3596,17959,0.19355372,41632,0.127685707
3597,9234,0.099519742,40499,0.124210786
3608,10592,0.114155633,46406,0.142327606
3610,8504,0.091652143,42267,0.129633257
3612,8946,0.096415813,42348,0.129881685
3614,12782,0.13775843,48969,0.15018835
3616,11607,0.125094829,46890,0.143812038
3617,9169,0.098819203,42153,0.129283618
3618,8230,0.088699099,41490,0.127250191
3620,10144,0.109327298,44140,0.135377765
3621,8616,0.092859227,43496,0.133402611
3622,11670,0.125773813,42627,0.13073738
3623,8712,0.09389387,42286,0.12969153
3624,7293,0.07860055,42243,0.129559649
3629,9289,0.100112507,42912,0.131611478
3630,10683,0.115136388,43608,0.133746116
3631,13241,0.142705318,48503,0.148759124
3633,10059,0.108411207,43702,0.134034415
3634,9475,0.102117128,44334,0.135972764
3635,8182,0.088181777,43546,0.133555961
3636,9287,0.100090952,44029,0.135037327
3637,7909,0.085239511,41151,0.126210475
3638,11160,0.120277271,43559,0.133595832
3639,7795,0.084010872,40137,0.123100529
3640,10123,0.109100969,40318,0.123655657
3641,8915,0.096081709,44765,0.137294645
3644,10443,0.11254978,44645,0.136926604
3646,10093,0.108777643,47392,0.145351677
3649,9404,0.101351923,39340,0.120656123
3658,11595,0.124965498,50111,0.153690874
3659,21806,0.235014891,46670,0.143137297
3660,10391,0.111989348,44928,0.137794567
3662,14371,0.154883931,64265,0.197101315
3663,8926,0.096200262,42545,0.130485886
3664,11602,0.125040941,46088,0.141352298
3666,10524,0.11342276,42698,0.130955138
3669,10820,0.11661291,43348,0.132948694
3670,10354,0.11159058,42660,0.130838592
3672,10282,0.110814597,44132,0.135353228
3673,10961,0.118132542,44633,0.1368898
3675,10259,0.110566714,45175,0.138552119
3677,10761,0.115977036,44571,0.136699645
3678,12555,0.13531193,46364,0.142198792
3682,10980,0.118337315,44166,0.135457507
3683,10111,0.108971639,49202,0.150902963
3685,11171,0.120395824,46562,0.14280606
3687,12389,0.13352286,50920,0.156172084
3688,11604,0.125062496,52006,0.159502855
3690,11291,0.121689128,48890,0.149946056
3691,13020,0.140323483,51382,0.157589042
3694,7450,0.080292623,47171,0.144673868
3695,11463,0.123542864,44975,0.137938717
3697,10830,0.116720685,45761,0.140349386
3698,11486,0.123790747,43693,0.134006812
3699,8721,0.093990868,38550,0.118233186
3700,9371,0.100996264,43957,0.134816502
3701,11405,0.122917767,41061,0.125934445
3705,8749,0.094292639,38973,0.119530531
3707,9543,0.10285,43045,0.13201939
3709,8673,0.093473546,36892,0.113148085
3711,10572,0.113940082,46036,0.141192813
3712,10381,0.111881573,44292,0.13584395
3713,7804,0.08410787,39065,0.119812695
3714,11091,0.119533622,43359,0.132982431
3715,10212,0.11006017,43088,0.132151271
3717,11577,0.124771503,43980,0.134887043
3719,11367,0.122508221,43462,0.133298333
3720,9269,0.099896956,43194,0.132476374
3722,10693,0.115244163,40996,0.125735089
3723,10379,0.111860018,41078,0.125986584
3725,12053,0.129901609,43216,0.132543848
3726,9573,0.103173326,32863,0.100791107
3727,7082,0.076326491,36045,0.110550329
3728,8426,0.090811495,40261,0.123480838
3730,11664,0.125709148,44640,0.136911269
3732,10053,0.108346542,41136,0.12616447
3733,8057,0.086834586,40229,0.123382693
3735,9411,0.101427366,40749,0.124977538
3737,10536,0.113552091,44814,0.137444928
3739,11591,0.124922388,36024,0.110485922
3740,9803,0.105652159,40606,0.124538956
3741,10646,0.114737619,41917,0.128559804
3744,10399,0.112075569,38546,0.118220918
3746,10278,0.110771487,45317,0.138987634
3747,12057,0.129944719,46276,0.141928895
3749,14045,0.151370455,49724,0.152503941
3750,10949,0.118003212,51932,0.159275896
3751,20706,0.223159604,44186,0.135518847
3752,11767,0.126819234,53332,0.163569709
3753,12376,0.133382752,56102,0.172065323
3754,12853,0.138523635,55000,0.168685479
3755,11264,0.121398135,48361,0.148323608
3756,12036,0.129718391,53010,0.162582132
3757,13010,0.140215708,52058,0.15966234
3758,11763,0.126776124,53122,0.162925637
3759,17332,0.186796207,53491,0.164057363
3760,14115,0.152124882,56509,0.173313595
3761,15394,0.165909347,51795,0.158855716
3763,11047,0.11905941,49630,0.152215642
3764,12748,0.137391994,52554,0.161183576
3765,14697,0.158397407,53194,0.163146461
3766,14529,0.156586781,55458,0.170090169
3767,13592,0.146488232,55120,0.16905352
3770,19646,0.211735419,50169,0.15386876
3775,15502,0.167073321,52755,0.161800045
3777,11485,0.12377997,47848,0.146750233
3778,6977,0.07519485,37477,0.114942285
3779,7169,0.077264136,31755,0.097392862
3781,12364,0.133253422,52494,0.160999555
3782,14551,0.156823887,53273,0.163388755
3783,12960,0.139676831,52610,0.161355328
3786,17450,0.188067956,63312,0.194178456
3787,15206,0.163883171,57278,0.175672125
3788,17153,0.184867028,58708,0.180057947
3789,16498,0.177807744,60442,0.185376141
3791,14419,0.155401252,57823,0.177343645
3792,15323,0.165144143,59181,0.181508643
3793,11119,0.119835393,47749,0.146446599
3795,13124,0.141444347,43988,0.134911579
3796,11711,0.126215692,50357,0.154445358
3797,10673,0.115028613,45738,0.140278844
3799,9021,0.097224128,42856,0.131439725
3800,18500,0.199384366,43715,0.134074286
3802,10717,0.115502824,49067,0.150488916
3803,9716,0.104714513,46374,0.142229462
3804,18797,0.202585293,54093,0.165903702
3805,11165,0.120331159,50526,0.154963682
3806,15593,0.168054076,56313,0.172712462
3807,16343,0.176137226,56541,0.17341174
3808,19995,0.215496778,56219,0.172424163
3809,13081,0.140980913,53513,0.164124837
3810,10810,0.116505135,49378,0.151442756
3812,13259,0.142899314,49677,0.152359792
3813,11764,0.126786902,50894,0.156092341
3814,11186,0.120557487,49299,0.151200462
3815,12902,0.139051734,50028,0.153436312
3816,10650,0.114780729,46913,0.14388258
3818,11020,0.118768417,47637,0.146103094
3820,13204,0.142306549,50181,0.153905564
3821,13940,0.150238814,49867,0.152942523
3822,12456,0.134244955,49979,0.153286028
3823,14490,0.156166457,52352,0.16056404
3824,14537,0.156673001,54459,0.167026227
3825,13422,0.144656052,53513,0.164124837
3831,13120,0.141401237,48862,0.14986018
3832,10458,0.112711443,40166,0.123189472
3833,8148,0.087815341,43929,0.134730626
3835,13689,0.147533653,45981,0.141024128
3840,13303,0.143373525,53355,0.16364025
3842,13027,0.140398926,52923,0.162315302
3844,15879,0.171136451,60247,0.184778074
3847,11568,0.124674505,53909,0.165339373
3850,15430,0.166297339,56979,0.174755089
3851,15899,0.171352002,56971,0.174730553
3854,19320,0.208221943,65255,0.200137653
3856,17239,0.185793896,61512,0.18865784
3857,13224,0.1425221,51068,0.156626001
3858,11531,0.124275736,50260,0.154147858
3859,12256,0.132089448,49902,0.153049869
3860,12686,0.136723787,52210,0.160128525
3862,13205,0.142317327,54528,0.167237851
3864,8895,0.095866159,41691,0.12786666
3865,9771,0.105307278,46608,0.142947142
3869,16406,0.176816211,60498,0.185547893
3870,12450,0.134180289,53429,0.163867208
3871,12841,0.138394305,50719,0.155555615
3873,12854,0.138534413,53519,0.164143239
3874,58933,0.635152369,48554,0.148915541
3875,10441,0.112528225,45300,0.138935495
3878,12936,0.139418171,45170,0.138536784
3880,11621,0.125245714,43265,0.132694132
3882,10731,0.11565371,45258,0.13880668
3885,8843,0.095305727,42625,0.130731246
3886,11928,0.128554417,47379,0.145311806
3887,6978,0.075205627,40945,0.125578672
3888,11119,0.119835393,43416,0.13315725
3889,6540,0.070485068,30403,0.093246266
3890,11859,0.127810767,45727,0.140245107
3891,19371,0.208771597,45798,0.140462865
3892,10252,0.110491271,36619,0.112310792
3895,9315,0.100392723,36802,0.112872055
3896,10597,0.11420952,42548,0.130495087
3898,8734,0.094130976,40709,0.124854858
3900,8751,0.094314194,36139,0.110838628
3902,11431,0.123197983,46804,0.143548276
3903,11767,0.126819234,45443,0.139374077
3904,12991,0.140010935,43856,0.134506734
3909,10467,0.112808441,43436,0.13321859
3910,12090,0.130300377,52032,0.159582597
3911,13143,0.14164912,47783,0.146550877
3912,12647,0.136303463,50188,0.153927033
3913,13835,0.149107173,51122,0.156791619
3915,10965,0.118175652,47081,0.144397837
3916,25517,0.275010317,57581,0.176601429
3918,12178,0.1312488,50510,0.15491461
3919,9128,0.098377324,46844,0.143670956
3920,8734,0.094130976,47586,0.145946677
3921,8944,0.096394258,32235,0.098865026
3922,10720,0.115535157,42122,0.129188541
3923,15473,0.166760772,41921,0.128572072
3925,10423,0.112334229,44831,0.137497068
3926,18308,0.197315079,53145,0.162996178
3927,16002,0.172462088,51823,0.158941592
3928,52864,0.569743519,72407,0.2220729
3929,36866,0.397324542,64907,0.199070334
3930,26561,0.286262062,65447,0.200726519
3931,15028,0.16196477,52491,0.160990354
3933,19871,0.214160364,53129,0.162947106
3934,18036,0.19438359,57556,0.176524753
3936,13696,0.147609096,49300,0.151203529
3937,24384,0.262799372,58096,0.178180938
3938,13412,0.144548276,48508,0.148774459
3939,10747,0.11582615,44775,0.137325315
3940,10728,0.115621377,42537,0.13046135
3941,10830,0.116720685,44032,0.135046528
3942,16984,0.183045625,46556,0.142787658
3943,25241,0.272035718,49973,0.153267626
3944,67601,0.728572027,60234,0.184738203
3945,13182,0.142069444,46075,0.141312426
3950,11049,0.119080965,46042,0.141211215
3951,10007,0.107850776,44073,0.135172275
3953,11764,0.126786902,46355,0.142171189
3954,16258,0.175221136,47019,0.144207683
3956,10572,0.113940082,41147,0.126198207
3957,8807,0.094917736,43672,0.133942404
3958,9125,0.098344991,37091,0.11375842
3959,11744,0.126571351,39612,0.121490349
3960,11499,0.123930855,45024,0.138089
3962,9686,0.104391187,43182,0.13243957
3965,7720,0.083202557,40443,0.124039033
3966,12948,0.139547501,43889,0.134607945
3971,11051,0.11910252,47533,0.145784125
3975,11419,0.123068653,53758,0.164876254
3976,9110,0.098183328,45133,0.138423304
3977,10883,0.117291895,50576,0.155117033
3978,11967,0.128974741,53808,0.165029605
3979,7631,0.082243356,39958,0.122551534
3980,11341,0.122228005,50666,0.155393063
3981,11672,0.125795368,47770,0.146511006
3984,10642,0.114694509,45892,0.140751164
3987,10966,0.11818643,49163,0.150783349
3988,11431,0.123197983,44662,0.136978743
3991,7044,0.075916944,41179,0.126296352
3992,8582,0.092492791,41501,0.127283929
3995,13949,0.150335812,41759,0.128075217
3996,14043,0.1513489,48423,0.148513763
,9278561,,32605059,
